td_item,td_type,project,identification_latency,discussion_period,remediation_latency,remediation_latency_without_discussion
CAMEL-149|0,design_debt,camel,20,unknown,unknown,1
CAMEL-251|0,code_debt,camel,114,unknown,unknown,8
CAMEL-721|0,code_debt,camel,104,unknown,unknown,1
CAMEL-789|0,architecture_debt,camel,507,1,1,unknown
CAMEL-1107|0,code_debt,camel,449,unknown,unknown,1
CAMEL-1112|0,design_debt,camel,5,unknown,unknown,5
CAMEL-1173|0,code_debt,camel,0,55,1,unknown
CAMEL-1196|0,test_debt,camel,331,unknown,unknown,1
CAMEL-1228|0,code_debt,camel,4,unknown,unknown,1
CAMEL-1256|0,code_debt,camel,505,unknown,unknown,5
CAMEL-1256|1,code_debt,camel,505,unknown,unknown,5
CAMEL-1270|0,code_debt,camel,95,unknown,unknown,1
CAMEL-1447|0,code_debt,camel,22,unknown,unknown,39
CAMEL-1507|0,code_debt,camel,339,1,1,unknown
CAMEL-1641|0,test_debt,camel,712,unknown,unknown,2
CAMEL-1842|0,test_debt,camel,181,unknown,unknown,1
CAMEL-1944|0,code_debt,camel,793,unknown,unknown,1
CAMEL-2094|0,design_debt,camel,352,unknown,unknown,1
CAMEL-2535|0,code_debt,camel,379,unknown,unknown,1
CAMEL-2559|0,test_debt,camel,884,3,1,unknown
CAMEL-2650|0,design_debt,camel,198,unknown,unknown,1
CAMEL-2682|0,design_debt,camel,417,unknown,unknown,1
CAMEL-2756|0,code_debt,camel,0,1,1,unknown
CAMEL-2879|0,design_debt,camel,0,unknown,unknown,1
CAMEL-2892|0,code_debt,camel,167,unknown,unknown,1
CAMEL-3048|0,design_debt,camel,37,unknown,unknown,10
CAMEL-3050|0,design_debt,camel,0,unknown,unknown,1
CAMEL-3077|0,design_debt,camel,119,unknown,unknown,1
CAMEL-3100|0,code_debt,camel,432,unknown,unknown,1
CAMEL-3112|0,design_debt,camel,1128,1,1,unknown
CAMEL-3125|0,design_debt,camel,549,3,1,unknown
CAMEL-3315|0,architecture_debt,camel,68,62,50,unknown
CAMEL-4132|0,architecture_debt,camel,804,1,1,unknown
CAMEL-4357|0,architecture_debt,camel,222,1,3,unknown
CAMEL-4357|1,code_debt,camel,3,3,1,unknown
CAMEL-4398|0,design_debt,camel,0,1,1,unknown
CAMEL-4736|0,test_debt,camel,0,unknown,unknown,1
CAMEL-6043|0,code_debt,camel,2016,1,20,unknown
